nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize
100,1,7500,3600,60,10
100,1,7500,3600,60,20
100,1,7500,3600,60,30
100,1,7500,3600,60,40
100,1,7500,3600,60,50
100,1,7500,3600,300,10
100,1,7500,3600,300,20
100,1,7500,3600,300,30
100,1,7500,3600,300,40
100,1,7500,3600,300,50
100,1,7500,3600,600,10
100,1,7500,3600,600,20
100,1,7500,3600,600,30
100,1,7500,3600,600,40
100,1,7500,3600,600,50
100,1,7500,3600,900,10
100,1,7500,3600,900,20
100,1,7500,3600,900,30
100,1,7500,3600,900,40
100,1,7500,3600,900,50
200,1,7500,3600,60,10
200,1,7500,3600,60,20
200,1,7500,3600,60,30
200,1,7500,3600,60,40
200,1,7500,3600,60,50
200,1,7500,3600,300,10
200,1,7500,3600,300,20
200,1,7500,3600,300,30
200,1,7500,3600,300,40
200,1,7500,3600,300,50
200,1,7500,3600,600,10
200,1,7500,3600,600,20
200,1,7500,3600,600,30
200,1,7500,3600,600,40
200,1,7500,3600,600,50
200,1,7500,3600,900,10
200,1,7500,3600,900,20
200,1,7500,3600,900,30
200,1,7500,3600,900,40
200,1,7500,3600,900,50
300,1,7500,3600,60,10
300,1,7500,3600,60,20
300,1,7500,3600,60,30
300,1,7500,3600,60,40
300,1,7500,3600,60,50
300,1,7500,3600,300,10
300,1,7500,3600,300,20
300,1,7500,3600,300,30
300,1,7500,3600,300,40
300,1,7500,3600,300,50
300,1,7500,3600,600,10
300,1,7500,3600,600,20
300,1,7500,3600,600,30
300,1,7500,3600,600,40
300,1,7500,3600,600,50
300,1,7500,3600,900,10
300,1,7500,3600,900,20
300,1,7500,3600,900,30
300,1,7500,3600,900,40
300,1,7500,3600,900,50
400,1,7500,3600,60,10
400,1,7500,3600,60,20
400,1,7500,3600,60,30
400,1,7500,3600,60,40
400,1,7500,3600,60,50
400,1,7500,3600,300,10
400,1,7500,3600,300,20
400,1,7500,3600,300,30
400,1,7500,3600,300,40
400,1,7500,3600,300,50
400,1,7500,3600,600,10
400,1,7500,3600,600,20
400,1,7500,3600,600,30
400,1,7500,3600,600,40
400,1,7500,3600,600,50
400,1,7500,3600,900,10
400,1,7500,3600,900,20
400,1,7500,3600,900,30
400,1,7500,3600,900,40
400,1,7500,3600,900,50
500,1,7500,3600,60,10
500,1,7500,3600,60,20
500,1,7500,3600,60,30
500,1,7500,3600,60,40
500,1,7500,3600,60,50
500,1,7500,3600,300,10
500,1,7500,3600,300,20
500,1,7500,3600,300,30
500,1,7500,3600,300,40
500,1,7500,3600,300,50
500,1,7500,3600,600,10
500,1,7500,3600,600,20
500,1,7500,3600,600,30
500,1,7500,3600,600,40
500,1,7500,3600,600,50
500,1,7500,3600,900,10
500,1,7500,3600,900,20
500,1,7500,3600,900,30
500,1,7500,3600,900,40
500,1,7500,3600,900,50